lane,hypothesis_id,hypothesis,prediction,primary_evidence,result,decision,claim_ceiling
34species,H1_broad_gradient_sorting,Broad macroclimatic gradients promote geographic colour sorting,S climatic breadth >= C across five frozen summaries,"ORs: temperature 0.817; moisture 0.412; heterogeneity 0.681; PCA dispersion 0.712; PCA hull area 0.577; all leave-one-family-out estimates <1","All five directions opposite the simple H1 prediction; moisture raw clustered p=0.0368 and permutation p=0.0423 but Holm p=0.184/0.212",not_supported_as_simple_explanation,"Does not exclude fine-scale climatic selection or morph-specific local adaptation"
34species,H2_broad_niche_coexistence,Broader species-level ecological occupancy accompanies local maintenance of colour variation,S climatic breadth < C across five frozen summaries,"Same five ORs all <1; direction retained in family deletion and two phylogenetic treatments","Direction repeatedly matches H2; uncertainty prevents a unique moisture mechanism",directionally_supported,"Comparative association only; no causal broad-niche mechanism established"
v6,H1a_temperature_seasonality,Greater climatological temperature seasonality favours C relative to S,S_vs_C OR <1,"S vs C OR 0.349; family-bootstrap 95% CI 0.085-0.909; C+S vs C OR 0.401 CI 0.140-1.002","Candidate signal loses interval exclusion after mean-temperature or absolute-latitude controls",candidate_only,"BIO4 may encode broad thermal/latitudinal geography; not a temperature-seasonality mechanism claim"
v6,H1b_precipitation_seasonality,Greater precipitation seasonality favours C relative to S,S_vs_C OR <1,"S vs C OR 1.498; CI 0.410-5.153","Point estimate is opposite prediction and interval is broad",not_supported,"Does not exclude other forms of temporal hydrological variability"
v6,H2_fragmentation,Greater range fragmentation favours S or C+S relative to C,S_vs_C OR >1 and mixed_vs_C OR >1,"S vs C OR 1.798 CI 0.467-6.141; C+S vs C OR 1.748 CI 0.622-7.064","Predicted direction but unresolved intervals",not_supported,"Fragmentation remains plausible but is not established; proxies are not gene-flow measurements"
v6,H3a_spatial_environmental_turnover,Greater geographic structuring of climate space favours S,S_vs_C OR >1 with resolved interval,"OR 1.368; CI 0.491-7.507","No resolved discrimination",not_supported,"Current WorldClim/GBIF representation does not establish stronger macroclimatic partitioning in S"
v6,H3b_regional_centroid_separation,Greater climate-centroid separation among geographic sectors favours S,S_vs_C OR >1 with resolved interval,"OR 1.617; CI 0.559-3.479","No resolved discrimination",not_supported,"Does not exclude finer-scale spatially varying selection"
v6,H3c_regional_climate_overlap,Lower climatic overlap among geographic sectors favours S,S_vs_C OR <1 with resolved interval,"OR 0.995; CI 0.479-3.357","Essentially no discrimination",not_supported,"Does not exclude morph-level niche separation not captured by species-level occurrences"
v6,H0_total_hypervolume,Total climatic hypervolume alone does not cleanly distinguish C/S,No consistent ordered C/S effect,"S vs C OR 2.076 CI 0.460-6.791; C+S vs C OR 0.466 CI 0.256-1.156","No clean monotonic discrimination",supported_as_negative_discriminator,"Supports moving from total niche size toward allocation of variation through space/time; not proof of equivalence"
dynamic,H1_dynamic_temporal_heterogeneity,Greater true temporal environmental heterogeneity favours C relative to S,"At least one of five direct temporal metrics: pure S_vs_C OR<1 AND Holm p<=0.05 AND family-bootstrap CI high<1","Exact v1 run 33599249288 stopped during extraction at 1000/6545 requests; no model output","No biological result from v1; partitioned compute-only v2 preserves the frozen scientific test",not_evaluable_pending_exact_recovery,"NE is computational/data-transport incompleteness, not ecological non-support"
mechanism,H3_pollinator_geographic_mosaic,Persistent pollinator turnover favours S while temporal turnover may favour C,Independent range-wide pollinator interaction turnover,"Same-literature direct signal S 2/7 vs C 0/11 (Fisher p=0.1373); no independent turnover dataset","Independent mechanism test unavailable",not_evaluable,"Do not convert literature ascertainment or missing interaction data into biological absence"
mechanism,H6_selfing_effective_gene_flow,Greater self-fertilization shifts organization toward S,Prospective GIFT trait model if coverage gate passes,"GIFT informative pure C/S self-fertilization coverage: C=1; S=1","Fails frozen coverage gate",not_evaluable,"No post-hoc recoding or manual substitution to rescue H6"
mechanism,H7_dispersal_fragmentation,Low-connectivity dispersal amplifies fragmentation and favours S,Prospective dispersal x fragmentation interaction if coverage gate passes,"GIFT informative pure C/S dispersal coverage: C=3; S=3","Fails frozen coverage gate; standalone dispersal main effect was not the frozen test",not_evaluable,"Descriptive syndrome differences cannot promote H7"
mechanism,H9_flowering_dynamic_variability,Flowering duration modifies temporal environmental exposure and favours C,Prospective flowering-duration x dynamic temporal-variability interaction,"GIFT flowering start pure C=4 S=1; flowering end pure C=4 S=2; dynamic climate v1 NE","Trait and dynamic-environment requirements not jointly evaluable",not_evaluable,"Species-level calendar dates are not a substitute for morph-specific phenology or the frozen interaction"
6species,Stage_A_local_spatial_organization,Continuous flower colour is locally organized within species,Observed within-species neighbour discontinuity lower than species-conditioned random-labelling null,"Primary k=5 p=0.0113; k=3 p=0.0066; k=8 p=0.0065","Stable support across three graph scales",supported,"Shows spatial organization of operational colour vectors; does not identify climate or selection mechanism"
6species,Stage_B_shared_transition,Independent species place their strongest colour transitions in the same global regions,Primary shared-transition concentration exceeds species-conditioned null,"Primary 500-km/36x18 p=0.0906; one coarser sensitivity p=0.0445","Frozen primary not supported; sensitivity scale-dependent",not_supported,"No universal global boundary claim; single sensitivity cannot replace primary"
terminal_atlas,measurement_scalability,Current ROI-v4 can provide a biologically evaluable 200-species colour field,Frozen measurement-completeness gate passes in all eight cohorts,"58/200 species evaluable; cohort counts 3 4 7 8 8 12 7 9; coordinate_join_permitted=false","Stopped before biological spatial inference",not_evaluable,"Measurement-transfer limit only; no ecological spatial/environmental/pollinator conclusion"
